date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2016-09-15,Sugar - Retail,KG,miscellaneous food,80.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2016-10-15,Sugar - Retail,KG,miscellaneous food,87.0,DZD,Algeria,Alger,344,Algiers,1794,97,15,5,7,1794_97_15_5,
2015-04-15,Lentils - Retail,KG,pulses and nuts,160.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-05-15,Lentils - Retail,KG,pulses and nuts,133.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-06-15,Lentils - Retail,KG,pulses and nuts,152.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-07-15,Lentils - Retail,KG,pulses and nuts,158.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-08-15,Lentils - Retail,KG,pulses and nuts,150.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-09-15,Lentils - Retail,KG,pulses and nuts,180.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-10-15,Lentils - Retail,KG,pulses and nuts,190.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-11-15,Lentils - Retail,KG,pulses and nuts,190.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2015-12-15,Lentils - Retail,KG,pulses and nuts,190.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2016-01-15,Lentils - Retail,KG,pulses and nuts,185.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2016-02-15,Lentils - Retail,KG,pulses and nuts,230.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2016-03-15,Lentils - Retail,KG,pulses and nuts,210.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
2016-07-15,Lentils - Retail,KG,pulses and nuts,180.0,DZD,Algeria,Alger,344,Algiers,1794,108,15,5,5,1794_108_15_5,
